,LDLR class A 1,LDLR class A 2,LDLR class A 3,LDLR class A 4,LDLR class A 5,LDLR class A 6,LDLR class A 7,EGF-like 1,EGF-like 2, Ca2+ binding,LDLR class B 1,LDLR class B 2,LDLR class B 3,LDLR class B 4,LDLR class B 5,LDLR class B 6,EGF-like 3,Clustered O-linked oligosaccharides,Disordered
n significantly decreased uptake,0,0.031,0.098,0.155,0.124,0.01,0.065,0.051,0,0.022,0.014,0.04,0.053,0.03,0.054,0.066,0.004,0
n significantly increased uptake,0.021,0.015,0.023,0.015,0.065,0.025,0.041,0.03,0.048,0.022,0.052,0.03,0.027,0.035,0.04,0.015,0.044,0.02
