Mean endogenous RPM,Mean Reporter RPM*Mean Reporter Edit fraction
421.4575,69.39876
247.6106,39.02244
6.814641,0
637.6068,84.16184
360.9576,94.37748
593.0392,231.355
188.0463,106.5325
423.5763,28.50862
301.8304,132.6974
432.9051,220.1516
267.7514,90.82354
636.9573,112.9828
613.9418,118.1986
312.1359,113.3933
585.8668,0
544.0849,9.364819
235.1404,64.51192
153.6333,128.8443
418.7191,70.47603
1561.795,53.32716
138.4205,74.39033
94.217,1.433408
57.57637,17.35944
269.6848,0
84.12985,0
197.8173,6.589605
201.3217,0
149.6237,2.929224
88.89245,166.716
248.3172,55.54491
340.7353,0
128.5826,105.7331
169.9948,0
144.0989,0
267.1513,0
330.1343,0
179.9208,95.67461
143.1757,0
114.5036,1.36397
97.59726,0
217.3527,85.45314
110.2079,6.953597
429.1882,93.83087
621.9443,76.22283
499.3486,24.00466
86.08505,7.267874
852.9298,120.2357
606.4515,20.1044
453.9287,129.2553
83.23546,0
208.4982,43.76142
226.9155,28.82613
138.6758,64.24775
58.49236,38.93028
170.4656,50.50549
180.2746,36.02
43.8566,142.0085
63.82798,48.27762
417.3727,262.583
1034.96,270.046
157.1051,27.69005
95.46418,17.53814
430.5886,113.1485
727.2641,239.0808
1190.808,293.4851
993.2321,0
334.1575,30.26025
655.1983,29.86633
528.2948,70.71586
451.0405,6.251004
154.2378,57.76729
709.372,118.4932
534.5853,29.39553
199.9674,144.637
270.3666,139.2905
427.9296,108.1516
982.2986,231.3105
811.6875,227.1215
104.8014,104.8485
157.5434,37.79562
387.8691,119.2721
744.2753,286.6232
148.0031,170.6569
715.2333,219.2734
916.4796,510.2389
1999.947,798.1574
405.6354,0
1103.56,16.15898
3419.737,833.7035
1308.736,297.789
867.1424,483.5226
866.317,350.5283
2708.819,772.2765
258.6423,0
1406.212,307.4559
1026.426,166.5563
1166.468,369.2772
647.2698,41.97454
737.9317,306.6347
2571.687,1042.32
2599.861,739.7642
3705.028,550.2807
4421.149,580.631
2353.628,476.9937
4542.104,186.4077
5081.164,1068.059
2576.779,228.3517
4112.879,718.3987
4919.069,686.6938
3096.313,817.2382
3222.457,228.2576
3045.376,563.5392
2974.96,446.7713
3061.153,776.1394
2371.266,442.179
5330.724,567.4466
2395.92,513.7863
2513.969,912.0837
2221.683,1022.972
3441.478,16.14591
1934.6,156.0325
3139.06,480.3643
2115.393,544.4309
3160.709,556.6777
4512.631,835.6649
2198.384,716.0491
3818.074,29.82604
3898.566,218.3572
3383.111,27.64982
5027.782,276.6483
2343.619,37.52273
3106.522,458.2971
5825.223,36.80883
3921.826,17.07273
5027.383,199.5623
2982.561,77.04229
4092.493,245.7609
2837.178,80.76311
3770.963,34.96735
3309.986,12.31833
3115.639,50.47262
3989.751,432.5082
4613.712,140.0809
3836.394,35.47348
6641.197,3.029293
3222.833,0
3028.688,218.7097
219.6551,0.911893
14.67427,0
10.87314,6.231832
0,0
0.519466,3.739917
53.62382,74.10606
3.048527,0
26.89289,17.76461
7.978203,0
0,1.190454
44.01633,0
65.54678,38.16997
0.257156,0
25.22944,0
4.493246,0
23.75815,0
122.9431,48.34762
17.97298,0
0,0
23.12832,0
13.8982,0
170.1839,236.3688
192.5843,75.1667
