Mean endogenous RPM,Mean Reporter RPM*Mean Reporter Edit fraction
127.7168,4.382478
262.7072,11.39747
702.2101,21.0839
93.51821,21.87576
33.87793,5.163088
5.657438,0
573.0394,7.580121
316.7861,11.80152
450.2721,82.58921
335.7261,54.57994
260.3393,97.391
34.84807,1.514682
179.6231,74.75798
78.47059,6.440904
7.747419,0
4.549331,34.53474
72.44306,5.161416
53.8023,0
26.74216,0
56.61388,1.571995
828.2882,0
263.8164,0
1290.454,0
2145.041,2.224299
1208.406,8.591968
1176.372,17.23735
596.552,0
996.0496,163.063
374.5182,0
1358.078,0
1782.195,0.649868
237.0404,0
113.1857,0
1187.859,0
1067.636,241.7984
675.9711,49.75987
775.2898,210.6242
141.2323,0
1141.283,0
334.3249,0
1012.262,66.06175
1620.065,260.7471
203.0428,0
1527.178,28.64507
681.4687,41.89495
1342.043,17.65877
2139.451,5.858591
2213.262,33.20117
2408.959,0
2589.647,1.551731
2230.413,5.925599
878.351,19.48774
2824.324,42.03241
1746.271,0
3134.041,3.094974
107.9828,0
1019.88,1.890742
1225.416,3.233996
1820.456,133.3193
1189.812,61.73867
1019.637,2.725984
1277.114,0
362.6559,17.46859
1083.726,338.6266
312.9753,9.840681
866.7278,0.578183
858.1401,39.79143
353.9903,62.41862
900.5185,54.89878
463.0266,2.148094
413.1079,74.86743
59.8024,0
448.1393,63.85734
658.5703,39.19388
520.986,5.874603
121.663,0.486357
231.8977,139.3211
457.2783,114.9495
713.2778,12.01057
425.5849,100.5056
723.3871,18.70407
387.9947,0.881944
262.6236,4.258916
