Mean endogenous RPM,Mean Reporter RPM
3886.763,964.058
5052.771,1059.569
815.7172,757.296
652.401,780.6788
1169.866,1138.33
5004.673,796.8639
4048.249,1080.717
2776.501,1187.6
926.6733,1086.187
5858.336,1214.413
1947.882,1130.94
333.7665,265.9665
6.557485,46.20232
132.8862,46.91167
421.4575,271.9493
247.6106,267.1221
6.814641,60.74398
637.6068,615.5711
360.9576,331.9382
593.0392,491.1267
188.0463,286.7296
423.5763,468.0833
301.8304,377.2587
432.9051,503.257
267.7514,176.2543
636.9573,505.9648
613.9418,653.4062
312.1359,360.9034
585.8668,207.5331
544.0849,831.8452
235.1404,196.0477
153.6333,318.8204
418.7191,382.2769
1561.795,330.8099
138.4205,426.4599
94.217,372.5994
57.57637,261.8738
269.6848,287.9477
84.12985,354.3521
197.8173,227.029
201.3217,657.1745
149.6237,622.6252
88.89245,241.954
248.3172,245.7833
340.7353,868.2807
128.5826,410.9481
169.9948,506.8609
144.0989,358.0534
267.1513,414.9559
330.1343,615.7312
179.9208,320.9332
143.1757,280.6698
114.5036,121.0868
97.59726,380.7923
217.3527,290.5533
110.2079,590.2084
429.1882,450.2765
621.9443,337.1705
499.3486,527.7662
86.08505,276.9167
852.9298,479.5433
606.4515,312.7561
453.9287,314.8116
83.23546,207.6498
208.4982,366.7419
226.9155,275.8874
138.6758,507.7083
58.49236,186.8659
170.4656,396.0332
180.2746,316.8332
43.8566,266.3788
63.82798,242.0964
417.3727,496.2799
1034.96,501.3343
157.1051,245.6949
95.46418,93.63131
430.5886,252.7988
727.2641,523.7005
1190.808,645.3098
993.2321,441.3574
334.1575,177.7899
655.1983,363.41
528.2948,351.0896
451.0405,344.2806
154.2378,194.8821
709.372,300.9153
534.5853,387.6577
199.9674,288.0666
270.3666,321.6457
427.9296,295.9497
982.2986,507.8493
811.6875,280.6768
104.8014,136.8237
157.5434,369.3541
387.8691,431.733
744.2753,547.9391
148.0031,572.3377
715.2333,398.3202
916.4796,768.412
1999.947,1209.753
405.6354,91.3613
1103.56,684.1342
3419.737,1266.922
1308.736,517.2502
867.1424,763.3576
866.317,676.1543
2708.819,1115.481
258.6423,304.6316
1406.212,800.1153
1026.426,318.8993
1166.468,758.9655
647.2698,310.3411
737.9317,562.784
2571.687,2052.088
2599.861,1142.225
3705.028,806.0239
4421.149,1513.82
2353.628,1331.036
4542.104,1166.019
5081.164,1402.527
2576.779,1133.963
4112.879,1068.415
4919.069,1340.408
3096.313,1320.862
3222.457,1296.836
3045.376,880.7827
2974.96,1010.717
3061.153,873.9922
2371.266,582.2662
5330.724,1432.463
2395.92,1008.461
2513.969,1318.56
2221.683,1086.801
3441.478,947.5923
1934.6,446.5751
3139.06,931.2582
2115.393,728.1301
3160.709,736.8063
4512.631,1267.919
2198.384,1179.811
3818.074,650.3501
3898.566,629.144
3383.111,423.384
5027.782,875.5015
2343.619,377.8536
3106.522,1006.616
5825.223,600.2599
3921.826,921.7023
5027.383,770.4054
2982.561,514.0028
4092.493,522.0389
2837.178,414.2018
3770.963,867.1858
3309.986,798.5759
3115.639,884.1629
3989.751,862.3726
4613.712,836.0836
3836.394,1360.721
6641.197,649.7443
3222.833,302.0468
3028.688,1339.947
219.6551,368.2927
14.67427,32.13804
10.87314,84.59461
0,51.31409
0.519466,29.59938
53.62382,184.1349
3.048527,156.9152
26.89289,142.52
7.978203,106.6506
0,27.68067
44.01633,88.7508
65.54678,86.54113
0.257156,80.84247
25.22944,6.731851
4.493246,0
23.75815,228.1022
122.9431,254.4742
17.97298,45.50617
0,67.45576
23.12832,234.7836
13.8982,45.33618
170.1839,1039.735
192.5843,269.6674
28.83753,35.03562
148.049,243.3018
210.8834,154.5058
217.8097,394.2576
204.7897,434.169
90.82042,593.349
22.86486,56.88636
68.97605,90.12006
132.3239,246.6012
97.93148,184.9403
207.079,254.4021
13.27333,129.8388
729.7506,580.1305
349.9953,164.4125
136.7884,282.8315
261.7821,348.6174
464.4538,563.6774
111.498,170.0976
294.329,878.7373
88.5742,118.5377
254.8099,271.564
65.35272,666.6421
771.5247,869.9299
217.4079,615.6299
109.4179,190.2987
45.2908,177.6203
133.5248,339.8259
451.5674,0.222795
364.9659,502.0142
907.3853,286.6802
419.4062,167.1506
402.7973,448.1183
943.4204,575.1888
117.9027,208.1493
190.8231,161.3871
238.2352,359.7317
350.3603,277.8932
108.4063,206.8026
282.8345,222.9993
270.2732,567.8124
119.1746,379.3122
57.34932,592.8109
57.20347,351.9088
140.6993,658.4692
13.22488,214.3486
78.77899,357.7855
81.08435,851.1925
92.9477,611.0229
151.9872,269.8313
146.5191,353.3506
203.6851,405.303
60.75809,369.5519
