Control,Stop,Synonymous,Missense
1.516939,-2.37491,0.018195,-2.82869
1.533556,-2.36515,0.018815,-2.82605
1.595762,-2.36143,0.027524,-2.82096
1.599869,-2.35491,0.028987,-2.82059
1.609032,-2.35058,0.030227,-2.81884
1.612812,-2.34053,0.036064,-2.81725
1.61842,-2.33424,0.060257,-2.81398
1.647044,-2.33138,0.072649,-2.80763
1.648536,-2.3251,0.073921,-2.80185
1.660522,-2.32389,0.077019,-2.79405
1.67735,-2.30085,0.083241,-2.79242
1.693607,-2.29687,0.086361,-2.78821
1.695566,-2.28279,0.087183,-2.78635
1.756217,-2.28179,0.090278,-2.78532
1.780493,-2.27307,0.096461,-2.7831
1.800805,-2.26839,0.099758,-2.7825
1.821008,-2.2626,0.10505,-2.77764
1.838817,-2.26219,0.116039,-2.77258
1.878524,-2.24632,0.124403,-2.76846
2.011933,-2.23941,0.127653,-2.75633
2.036702,-2.22553,0.130809,-2.72486
2.129,-2.19857,0.134593,-2.71664
2.150407,-2.1977,0.140657,-2.715
2.231888,-2.19629,0.147642,-2.7056
2.234697,-2.19356,0.152787,-2.70539
2.250821,-2.17805,0.164875,-2.70482
2.313403,-2.17222,0.175717,-2.70021
2.342826,-2.17053,0.184273,-2.69479
2.368881,-2.1694,0.190003,-2.6743
2.404499,-2.15938,0.190989,-2.6592
2.419162,-2.13289,0.194692,-2.65543
2.441845,-2.11698,0.196615,-2.64576
2.495828,-2.10283,0.200329,-2.6185
2.516865,-2.07072,0.205731,-2.59789
2.683076,-2.06931,0.220874,-2.59458
2.70118,-2.02394,0.225325,-2.59105
2.711177,-2.01867,0.233318,-2.59086
2.711647,-2.01337,0.249354,-2.58939
2.74468,-2.00283,0.257109,-2.58126
2.75452,-1.97837,0.261743,-2.5693
2.835466,-1.975,0.2654,-2.56414
3.011969,-1.97358,0.268075,-2.56286
3.132618,-1.97284,0.27158,-2.56283
3.290115,-1.96577,0.272872,-2.55472
,-1.95924,0.274518,-2.55302
,-1.9504,0.274781,-2.55255
,-1.94937,0.275092,-2.55115
,-1.94653,0.276093,-2.52898
,-1.94418,0.281819,-2.52466
,-1.92307,0.283032,-2.51762
,-1.92255,0.283888,-2.49167
,-1.912,0.287103,-2.48414
,-1.88767,0.289193,-2.48152
,-1.8834,0.295632,-2.48106
,-1.87386,0.31183,-2.47554
,-1.87222,0.312314,-2.4717
,-1.86939,0.316666,-2.46826
,-1.86594,0.31799,-2.45837
,-1.82047,0.321199,-2.45334
,-1.81479,0.330566,-2.45152
,-1.80086,0.331539,-2.42153
,-1.79273,0.33206,-2.41174
,-1.79236,0.349595,-2.40867
,-1.78149,0.351945,-2.39399
,-1.7747,0.356223,-2.39343
,-1.76999,0.359474,-2.3808
,-1.74529,0.365908,-2.37382
,-1.74503,0.367937,-2.34818
,-1.743,0.374051,-2.34817
,-1.74027,0.375694,-2.34533
,-1.72574,0.376589,-2.34363
,-1.71208,0.376671,-2.33976
,-1.70548,0.380427,-2.33813
,-1.70441,0.390563,-2.33267
,-1.68347,0.397315,-2.30673
,-1.68073,0.397518,-2.30455
,-1.65064,0.405362,-2.29795
,-1.64347,0.41498,-2.28923
,-1.63848,0.417582,-2.28167
,-1.63609,0.425748,-2.28028
,-1.63327,0.426752,-2.27836
,-1.61914,0.426946,-2.26872
,-1.61422,0.427025,-2.26798
,-1.59692,0.432715,-2.26792
,-1.59288,0.43458,-2.26676
,-1.5724,0.437714,-2.26511
,-1.56769,0.444719,-2.26504
,-1.5609,0.447009,-2.25728
,-1.55173,0.451677,-2.25616
,-1.51437,0.480531,-2.25614
,-1.50351,0.487284,-2.24905
,-1.48213,0.490487,-2.24865
,-1.4584,0.492559,-2.24839
,-1.44195,0.495541,-2.24734
,-1.43954,0.497493,-2.23908
,-1.43922,0.512064,-2.23904
,-1.41526,0.513586,-2.23887
,-1.40718,0.516337,-2.22241
,-1.40629,0.524797,-2.21556
,-1.3768,0.525981,-2.2152
,-1.37567,0.530005,-2.21447
,-1.36871,0.532164,-2.214
,-1.36051,0.543845,-2.20224
,-1.33554,0.544598,-2.19572
,-1.3353,0.555182,-2.19425
,-1.31739,0.555232,-2.18796
,-1.31525,0.558391,-2.17831
,-1.30478,0.564015,-2.17309
,-1.2973,0.567568,-2.16942
,-1.27971,0.568979,-2.16035
,-1.27674,0.570721,-2.15659
,-1.27332,0.582845,-2.15445
,-1.24743,0.597036,-2.14215
,-1.24164,0.606835,-2.14081
,-1.22722,0.609248,-2.13799
,-1.22408,0.613538,-2.13547
,-1.2227,0.616579,-2.13349
,-1.2044,0.628574,-2.13088
,-1.18377,0.630018,-2.1307
,-1.17173,0.636957,-2.12891
,-1.16448,0.63974,-2.12196
,-1.16091,0.641151,-2.11891
,-1.13952,0.651227,-2.10751
,-1.11369,0.663261,-2.09894
,-1.11034,0.670289,-2.09709
,-1.09785,0.69519,-2.09582
,-1.09534,0.703295,-2.09089
,-1.09283,0.710567,-2.08579
,-1.09189,0.714859,-2.08029
,-1.08674,0.71644,-2.07872
,-1.06992,0.717797,-2.07418
,-1.0659,0.728737,-2.07184
,-1.05855,0.730038,-2.06064
,-1.05608,0.731216,-2.05465
,-1.05123,0.736487,-2.05378
,-1.03753,0.74453,-2.03601
,-1.03664,0.758557,-2.03428
,-1.01258,0.759685,-2.03217
,-1.01144,0.767475,-2.02337
,-1.00991,0.768731,-2.02088
,-1.00885,0.77068,-2.00704
,-0.98779,0.774385,-2.00545
,-0.98532,0.775772,-1.99441
,-0.9839,0.776341,-1.98118
,-0.97858,0.782471,-1.97999
,-0.97132,0.782711,-1.97959
,-0.96401,0.782867,-1.97819
,-0.95606,0.791067,-1.97766
,-0.9557,0.797851,-1.97699
,-0.94183,0.801346,-1.96206
,-0.94144,0.803778,-1.96166
,-0.93813,0.805304,-1.95244
,-0.93519,0.810559,-1.95102
,-0.92765,0.814904,-1.9473
,-0.92222,0.816828,-1.94339
,-0.91692,0.820673,-1.94276
,-0.9149,0.824935,-1.9386
,-0.91027,0.837879,-1.9364
,-0.90865,0.839768,-1.93582
,-0.90049,0.839993,-1.93213
,-0.89512,0.842561,-1.92669
,-0.88058,0.842659,-1.92667
,-0.87983,0.845358,-1.91663
,-0.87885,0.856307,-1.9165
,-0.87809,0.85662,-1.91364
,-0.87,0.860226,-1.91316
,-0.8628,0.86072,-1.91294
,-0.8607,0.864774,-1.90305
,-0.85735,0.868525,-1.89768
,-0.84474,0.868954,-1.89098
,-0.83335,0.869034,-1.88692
,-0.82567,0.891258,-1.88395
,-0.82383,0.892749,-1.88217
,-0.82344,0.895872,-1.87983
,-0.82218,0.900163,-1.87832
,-0.81822,0.903214,-1.87819
,-0.80737,0.917243,-1.87327
,-0.80593,0.921473,-1.86515
,-0.80414,0.925788,-1.86412
,-0.79917,0.928516,-1.86162
,-0.79149,0.931572,-1.85694
,-0.79071,0.937582,-1.85529
,-0.7857,0.93896,-1.85338
,-0.77842,0.940444,-1.84703
,-0.77477,0.960905,-1.83988
,-0.7716,0.967691,-1.8335
,-0.76742,0.970417,-1.83194
,-0.75791,0.970613,-1.83176
,-0.75755,0.972744,-1.8314
,-0.73335,0.973479,-1.82981
,-0.73272,0.973685,-1.82875
,-0.71459,0.975783,-1.82773
,-0.70746,0.991149,-1.82498
,-0.69283,0.99473,-1.82353
,-0.68776,1.005282,-1.82237
,-0.68171,1.00712,-1.82019
,-0.66776,1.009912,-1.80533
,-0.6641,1.010092,-1.7951
,-0.62749,1.017881,-1.79445
